min_samples_split,n_estimators,scaler,transformer,maes,times,seeds
39,2,SinMedian,,5.378189438297949,0.1347241401672363,90125
10,2,Standard,SinMedian,5.401834195985927,0.0702285766601562,90126
7,2,BCM,BCM,5.391944327676863,0.08672952651977539,90127
3,2,,,5.662416610486275,0.06461834907531738,90128
