min_samples_split,n_estimators,scaler,transformer,maes,times,seeds
39,245,,BCM,6.529164340255413,3.3671441078186035,90125
11,725,BCM,BCM,6.313345745296698,12.821402549743652,90126
3,759,,Standard,6.333634171593128,18.903141498565674,90127
22,1288,Median,,6.53163308462712,22.572404623031616,90128
